Région administrative,Nom d'entreprise,Type d'installation,Conditions d'acceptation,Reconnaissance valide jusqu'au ,Tonnage traité,Agrégats,Bardeaux,Bois - Recyclage,Bois - Valorisation,Bois traité,Carton,Gypse*,Métaux,Mélange combustible,Plastique,Plastique PVC,Verre,Taux de recyclage et de valorisation énergétique,Taux incluant les matières utilisées dans les lieux d'élimination,Taux de rejets,Adresse ,Municipalité ,Code Postal ,Téléphone ,Site Web
01 Bas-Saint-Laurent,GFL-Matrec - Matane et Rimouski,,"Pêle-mêle, Prétrié, Séparé",2028-03-31 00:00:00,Entre 20 000 et 40 000 t.,Oui,Oui,0.81,0.19,,Oui,,Oui,,,,,0.4,0.83,0.17,"75, rue Savard",Matane,G4W 0H9,418 562-5116,www.gflenv.com/fr/
01 Bas-Saint-Laurent,GFL-Matrec - Rivière-du-Loup,,"Pêle-mêle, Prétrié, Séparé",2026-03-31 00:00:00,Entre 40 000 et 60 000 t.,Oui,,0.02,0.98,Oui,Oui,,Oui,,,,Oui,0.25,0.85,0.15,"10, rue Charles-St-Pierre",Rivière-du-Loup,G5R 0N6,418 862-0309,www.gflenv.com/fr/
02 Saguenay-Lac-Saint-Jean,Centrem,,"Pêle-mêle, Prétrié, Séparé",2028-03-31 00:00:00,Entre 20 000 et 40 000 t.,Oui,Oui,0,1,,,Oui*,Oui,Oui,,,,0.72,0.89,0.11,"1125, rue des Pins",Alma,G8B 7V7,418 668-3223,groupedemexcentrem.com
03 Capitale-Nationale,AIM Éco-Centre **,,"Pêle-mêle, Prétrié, Séparé",2028-03-31 00:00:00,Entre 80 000 et 100 000 t.,Oui,Oui,0.38,0.62,Oui,Oui,Oui,Oui,Oui,Oui,,Oui,0.39,0.84,0.16,"220, rue Rotterdam",Saint-Augustin-de-Desmaures,G3A 1T4,418 843-6141,aim-ecocentre.com
03 Capitale-Nationale,Eddy Fugère inc.,,"Pêle-mêle, Prétrié, Séparé",2028-03-31 00:00:00,Entre 80 000 et 100 000 t.,Oui,Oui,0.14,0.86,,Oui,,Oui,Oui,,,Oui,0.41,0.61,0.39,"315, rue Jackson",Québec,G1N 4C4,418 683-3981,S.O.
03 Capitale-Nationale,GFL-Matrec - Québec (Lavoisier),,"Pêle-mêle, Prétrié, Séparé",2028-03-31 00:00:00,Entre 40 000 et 60 000 t.,Oui,Oui,0,1,,Oui,,Oui,Oui,,,,0.41,0.59,0.41,"2222, rue Lavoisier",Québec,G1N 4H2,418 681-1011,www.gflenv.com/fr/
03 Capitale-Nationale,Régie GMR Portneuf *,,"Pêle-mêle, Prétrié, Séparé",2028-03-31 00:00:00,"Moins de 
20 000 t.",Oui,Oui,0.6,0.4,Oui,Oui,,Oui,,Oui,,,0.54,0.76,0.24,"1300, ch. du Site",Neuville,G0A 2R0,418 876-2714,laregieverte.ca
04 Mauricie,Bellemare Environnement **,,"Pêle-mêle, Prétrié, Séparé",2028-03-31 00:00:00,"Plus de 
100 000 t.",Oui,Oui,0.57,0.43,,Oui,,Oui,,,,Oui,0.71,0.83,0.17,"11 450, boul. Industriel",Trois-Rivières,G9A 5E1,819 379-2535,groupebellemare.com
05 Estrie,Écotri Désourdy,,"Pêle-mêle, Prétrié, Séparé",2028-03-31 00:00:00,"Moins de 
20 000 t.",Oui,Oui,0.18,0.82,,,Oui,Oui,,Oui,,,0.32,0.0,0.68,"1479, route Pierre-Laporte",Bromont,J2L 2W6,450 534-2780,excavationdesourdy.com
05 Estrie,Valoris *,,"Pêle-mêle, Prétrié, Séparé",2028-03-31 00:00:00,Entre 20 000 et 40 000 t.,Oui,Oui,0.04,0.96,,,,Oui,Oui,,,,0.88,0.99,0.01,"107, ch. Maine Central",Bury,J0B 1J0,819 560-8403,valoris-estrie.com
06 Montréal,GFL-Matrec - Montréal-Est ,,"Pêle-mêle, Prétrié, Séparé",2028-03-31 00:00:00,"Plus de 
100 000 t.",Oui,,0.73,0.26,,Oui,,Oui,,Oui,,,0.36,0.56,0.44,"10 930, rue Sherbrooke Est",Montréal-Est,H1B 1B4,514 256-9208,www.gflenv.com/fr/
07 Outaouais,RLS Environnement,,"Pêle-mêle, Prétrié, Séparé",2026-03-31 00:00:00,"Moins de 
20 000 t.",Oui,Oui,A.D.,A.D.,,Oui,,Oui,,,,,0.24,0.28,0.72,"108, rue Papineau",Papineauville,J0V 1R0,819 427-6427,rlsenvironnement.ca
12 Chaudière-Appalaches,Location Dalji,,"Pêle-mêle, Prétrié, Séparé",2026-03-31 00:00:00,Entre 20 000 et 40 000 t.,Oui,Oui,0.48,0.52,Oui,Oui,Oui*,Oui,Oui,,,,0.71,0.84,0.16,"2027, rang de la Rivière",Saint-Isidore,G0S 2S0,418 955-6049,locationdalji.com
13 Laval,Centre de tri Rose,,"Pêle-mêle, Prétrié, Séparé",2026-03-31 00:00:00,Entre 20 000 et 40 000 t.,Oui,Oui,0.6,0.4,,Oui,,Oui,,Oui,,,0.17,0.18,0.82,"89, rue Morane",Laval,H7M 1R5,450 900-0011,www.conteneurrose.com
13 Laval,Multi Recyclage,,"Pêle-mêle, Prétrié, Séparé",2026-03-31 00:00:00,Entre 60 000 et 80 000 t.,Oui,Oui,0.02,0.98,,Oui,Oui,Oui,,Oui,,,0.4,0.47,0.52,"140, rue Saulnier",Laval,H7E 4P2,1 888 306-5151,multirecyclage.com
15 Laurentides,GFL-Matrec - Argenteuil,,"Pêle-mêle, Prétrié, Séparé",2026-03-31 00:00:00,Entre 20 000 et 40 000 t.,Oui,Oui,0.12,0.88,,Oui,,Oui,,,,,0.5,0.53,0.47,"435, montée Cushing",Brownsburg-Chatham,J8G 1B9,450 566-8000,www.gflenv.com/fr/
16 Montérégie - 17 Centre-du-Québec,GFL-Matrec - Saint-Hyacinthe et Drummondville,,En processus de renouvellement; Expiration le 31 mars 2025,,,,,,,,,,,,,,,,,,"3525, boul. Laurier Est",Saint-Hyacinthe,J2R 2B2,450 773-9689,www.gflenv.com/fr/
17 Centre-du-Québec,Enfoui-Bec *,,"Pêle-mêle, Prétrié, Séparé",2028-03-31 00:00:00,Entre 40 000 et 60 000 t.,Oui,Oui,0.44,0.56,Oui,Oui,,Oui,,Oui,,Oui,0.39,0.67,0.32,"18 055, rue Gauthier",Bécancour,G9H 1C1,819 233-2443,enfouibec.com
01 Bas-Saint-Laurent,Écocentre de La Mitis,Écocentre,Restrictions et frais applicables,S.O.,N.D.,,Oui,Oui,Oui,,Oui,Oui,Oui,,,,,,,,"428, avenue Roger-Marcoux",Mont-Joli,G0H 2L0,,
01 Bas-Saint-Laurent,Écocentre de Rimouski,Écocentre,Restrictions et frais applicables,S.O.,N.D.,,,Oui,Oui,,Oui,,Oui,,Oui,,,,,,"835, chemin Victor-Gauvin",Rimouski,S.O.,,
01 Bas-Saint-Laurent,Écocentre de Rivière-du-Loup,Écocentre,Restrictions et frais applicables,S.O.,N.D.,Oui,,Oui,Oui,,,,Oui,,,,,,,,35 rue Henry-Percival-Monsarrat,Rivière-du-Loup,G5R0C9,,
01 Bas-Saint-Laurent,Écocentre des Basques,Écocentre,Restrictions et frais applicables,S.O.,N.D.,,,,,,,,Oui,,Oui,,,,,,"2, route à Coeur",Notre-Dame-des-Neiges,G0L4K0,,
01 Bas-Saint-Laurent,Écosite de la Matapédia,Écocentre,Restrictions et frais applicables,S.O.,N.D.,,Oui,Oui,Oui,,,,Oui,,,,,,,,32 rang St-Paul,Amqui,G5J 3J1,,
02 Saguenay-Lac-Saint-Jean,Écocentre de Roberval,Écocentre,Restrictions et frais applicables,S.O.,N.D.,,,,,,,Oui,Oui,,Oui,,,,,,"1855, Castonguay",Roberval,G8H 2M9,,
03 Capitale-Nationale,Écocentre Clermont,Écocentre,Restrictions et frais applicables,S.O.,N.D.,,,,,,,,Oui,,,,,,,,"119, chemin Snigole Clermont (Québec) G4A 1B1",Clermont,G4A 1B1,,
04 Mauricie,Écocentre Champlain,Écocentre,Restrictions et frais applicables,S.O.,N.D.,,Oui,Oui,Oui,,Oui,,Oui,,Oui,,,,,,295 rte Ste-Marie,Champlain,G0X 1C0,,
05 Estrie,Zone Eco,Écocentre,Restrictions et frais applicables,S.O.,N.D.,Oui,,Oui,Oui,,,,Oui,,Oui,,,,,,2500 rang St Joesph,Cowansville,J2K 4H3,,
08 Abitibi-Témiscamingue,Centre de valorisation des matières résiduelles,Écocentre,Restrictions et frais applicables,S.O.,N.D.,Oui,,,,,,,Oui,,,,,,,,15 boulevard industriel,La Sarre,J9Z2x2,,
08 Abitibi-Témiscamingue,Éco-Centre Barraute,Écocentre,Restrictions et frais applicables,S.O.,N.D.,,,,,,,,Oui,,,,,,,,"451, rue du Moulin",Barraute,J0Y 1A0,,
08 Abitibi-Témiscamingue,Écocentre de Malartic,Écocentre,Restrictions et frais applicables,S.O.,N.D.,,,,,,Oui,,Oui,,,,,,,,"542, chemin Jolicoeur et Ste-Croix",Malartic,J0Y 1Z0,,
09 Côte-Nord,Écocentre de Baie-Comeau,Écocentre,Restrictions et frais applicables,S.O.,N.D.,Oui,,,,,Oui,,Oui,,,,,,,,"800, rue Léonard-E-Schlem",Baie-Comeau,G4Z 3B7,,
09 Côte-Nord,Écocentre de la Ville de Sept-Iles,Écocentre,Restrictions et frais applicables,S.O.,N.D.,Oui,,,,,Oui,,Oui,,,,,,,,"601-701, Boulevard des Montagnais",Sept-Iles,G4R 2R4,,
09 Côte-Nord,Écocentre Port-Cartier ,Écocentre,Restrictions et frais applicables,S.O.,N.D.,,,Oui,Oui,,Oui,,Oui,,,,,,,,97 Portage-des-Mousses,Port-Cartier,G5B 1C9,,
09 Côte-Nord,Écocentre Portneuf-sur-Mer,Écocentre,Restrictions et frais applicables,S.O.,N.D.,,Oui,Oui,Oui,,Oui,,Oui,,,,,,,,"2A, rte 138",Portneuf-sur-Mer,G0T1P0,,
09 Outaouais,Complexe environnemental Sud,Écocentre,Restrictions et frais applicables,S.O.,N.D.,Oui,Oui,,,,,,Oui,,Oui,,,,,,11 chemin Brundtland,Kazabazua,J0X 1X0,,
12 Chaudière-Appalaches,Écocentre régional de Nouvelle-Beauce - Sainte-Marie,Écocentre,Restrictions et frais applicables,S.O.,N.D.,,,,,,,,Oui,,,,,,,,"1690, boulevard Vachon Nord",Sainte-Marie,G6E 0G1,,
12 Chaudière-Appalaches,Garage municipal de Saint-Côme,Écocentre,Restrictions et frais applicables,S.O.,N.D.,Oui,Oui,Oui,Oui,,,,Oui,,,,,,,,"1195, 39e Rue",Saint-Côme,J0K 2B0,,
12 Chaudière-Appalaches,Régie intermunicipale du comté de Beauce-Sud (RICBS),Écocentre,Restrictions et frais applicables,S.O.,N.D.,,,Oui,Oui,,,,Oui,,Oui,,,,,,695 rang St-Joseph,St-Côme Linière,G5Y 4P8,,
14 Lanaudière,Écocentre Chertsey,Écocentre,Restrictions et frais applicables,S.O.,N.D.,Oui,Oui,Oui,Oui,,Oui,,Oui,,,,,,,,225 av. du Progrès,Chertsey,J0K3K0,,
14 Lanaudière,Écocentre de la municipalité de Saint-Donat,Écocentre,Restrictions et frais applicables,S.O.,N.D.,,,Oui,Oui,,,,Oui,,,,,,,,"214, chemin du Long-de-la-Rivière",Saint-Donat-de-Montcalm,J0T 2C0,,
14 Lanaudière,Écocentre de Saint-Calixte,Écocentre,Restrictions et frais applicables,S.O.,N.D.,,,,,,,,Oui,,,,,,,,315 rue Lajoie,Saint-Calixte,J0K1Z0,,
15 Laurentides,Complexe environnemental de la Rouge,Écocentre,Restrictions et frais applicables,S.O.,N.D.,Oui,Oui,Oui,Oui,,Oui,Oui,Oui,,Oui,,,,,,"688, ch. Parc-Industriel",Rivière-Rouge,J0T 1T0,,
15 Laurentides,Écocentre de Blainville,Écocentre,Restrictions et frais applicables,S.O.,N.D.,Oui,Oui,Oui,Oui,,,,Oui,,Oui,,,,,,"302, Omer Desserre",Blainville,J7C 5N3,,
15 Laurentides,Écocentre municipal de Saint-Colomban,Écocentre,Restrictions et frais applicables,S.O.,N.D.,Oui,Oui,Oui,Oui,,Oui,,Oui,,Oui,,,,,,"355,montée de l'Église",Saint-Colomban,J5K 2H8,,
16 Montérégie,Écocentre Candiac,Écocentre,Restrictions et frais applicables,S.O.,N.D.,Oui,,Oui,Oui,,Oui,,Oui,,,,,,,,"80, boulevard Montcalm Nord",Candiac,J5R 3L8,,
16 Montérégie,Écocentre Iberville,Écocentre,Restrictions et frais applicables,S.O.,N.D.,Oui,,,,,Oui,,Oui,,,,,,,,"825, rue Lucien-Beaudin",Saint-Jean-sur-Richelieu,J2X 5L2,,
02 Saguenay-Lac-Saint-Jean,Excavation Dolbeau,Centre de tri CRD,N.D.,S.O.,N.D.,Oui,,,,,,,Oui,,,,,,,,"493, 2e Avenue",Dolbeau-Mistassini,G8L 1V3,418 276-8153,
03 Capitale-Nationale,Villéco,Centre de tri CRD,N.D.,S.O.,N.D.,,,,,,,,,,,,,,,,"1786A, rue Bresse",Québec,G2G 2P2,418 781-6538,
05 Estrie,Enviro Connexions,Centre de tri CRD,N.D.,S.O.,N.D.,,,,,,,,,,,,,,,,"530, rue Édouard",Granby,J2G 3Z6,450 777-4977,
05 Estrie,GFL-Matrec - Coaticook,Centre de tri CRD,N.D.,S.O.,N.D.,Oui,Oui,Oui,,,,,Oui,,,,,,,,"435, rue Ernest-Lafaille",Coaticook,J1A 3E6,819 849-6845,
05 Estrie,Planète Bleue Environnement,Centre de tri CRD,N.D.,S.O.,N.D.,,,,,,,,,,,,,,,,"111, rue Nadeau",Waterloo,J0E 2N0,579 256-5656,
07 Outaouais,Centre de tri JD,Centre de tri CRD,N.D.,S.O.,N.D.,,,,,,,,,,,,,,,,"32, ch. Mongeon",L'Ange-Gardien,J8L 0V1,819 664-2330,
07 Outaouais,Centre FilloGreen,Centre de tri CRD,N.D.,S.O.,N.D.,,,,,,,,,,,,,,,,"152, ch. de l'Industrie Nord",Litchfield,J0X 1K0,819 647-3235,
07 Outaouais,Enviro Connexions,Centre de tri CRD,N.D.,S.O.,N.D.,,,,,,,,,,,,,,,,"1765, boul. Maloney Est",Gatineau,J8R 1B4,819 643-6464,
07 Outaouais,TerraCube,Centre de tri CRD,N.D.,S.O.,N.D.,Oui,,,Oui,,Oui,,Oui,,,,,,,,"6, ch. Douglas",Chelsea,J9B 1K4,819 827-9144,
07 Outaouais,Thibault Démolition **,Centre de tri CRD,N.D.,S.O.,N.D.,Oui,Oui,,Oui,,,,Oui,,Oui,,,,,,"135, ch. Saint-Antoine",Val-des-Monts,J8N 7G9,819 671-4112,
08 Abitibi-Témiscamingue,Multitech Environnement,Centre de tri CRD,N.D.,S.O.,N.D.,Oui,,Oui,,,,,Oui,,,,,,,,"1610, rang Lusko",Rouyn-Noranda,J9X 6J2,819 762-6282,
11 Gaspésie-Îles-de-la-Madeleine,Exploitation Jaffa,Centre de tri CRD,N.D.,S.O.,N.D.,,,,,,,,,,,,,,,,"268, route Saint-Alphonse",Saint-Alphonse-de-Caplan,G0C 2H0,855 759-3309,
12 Chaudière-Appalaches,Gestion Éco Vert Dur,Centre de tri CRD,N.D.,S.O.,N.D.,,,,,,,,,,,,,,,,"82, rue Giasson",Saint-Jean-Port-Joli,G0R 3G0,418 248-7773,
12 Chaudière-Appalaches,Services Sanitaires Denis Fortier,Centre de tri CRD,N.D.,S.O.,N.D.,Oui,,Oui,,,Oui,,Oui,,,,,,,,"1825, 95e Rue",Saint-Georges,G5Y 8J1,418 228-1279,
12 Chaudière-Appalaches,Services Sanitaires Denis Fortier,Centre de tri CRD,N.D.,S.O.,N.D.,Oui,Oui,Oui,,,Oui,,Oui,,,,,,,,"3878, boul. Frontenac Est",Thetford Mines,G6H 4G2,418 332-2880,
13 Laval,Service de recyclage Sterling,Centre de tri CRD,N.D.,S.O.,N.D.,,,,,,,,,,,,,,,,"5570, Place Maurice-Cullen",Laval,H7C 2T3,450 661-8002,
14 Lanaudière,Entreprises Pavco,Centre de tri CRD,N.D.,S.O.,N.D.,,,,,,,,,,,,,,,,"180, rue Armand-Majeau",Saint-Roch-de-l'Achigan,J0K 1H0,514 322-6844,
14 Lanaudière,Recyclage Frédérick Morin,Centre de tri CRD,N.D.,S.O.,N.D.,,,,,,,,,,,,,,,,"1752, rue Saint-Cléophas",Saint-Gabriel-de-Brandon,J0K 2N0,450 835-1444,
15 Laurentides,Émile Foucault Excavation,Centre de tri CRD,N.D.,S.O.,N.D.,Oui,Oui,,,,Oui,,Oui,,,,,,,,"21, ch. de l'Écocentre",Grenville,J0V 1J0,819 242-8181,
15 Laurentides,Entreprises P. Roy,Centre de tri CRD,N.D.,S.O.,N.D.,,,,,,,,,,,,,,,,"1177, route 329",Sainte-Agathe-des-Monts,J8C 2Z2,819 323-4334,
15 Laurentides,GFL-Matrec - Mont-Tremblant,Centre de tri CRD,Pêle-mêle,S.O.,N.D.,,,,,,,,,,,,,,,,"175, route 117",Mont-Tremblant,J8E 1A1,819 425-8867,
15 Laurentides,Service de Recyclage Sterling ,Centre de tri CRD,N.D.,S.O.,N.D.,,,,,,,,,,,,,,,,"6000, route 158",Mirabel,J7N 2Z8,450 258-2000,
16 Montérégie,Martial Excavation,Centre de tri CRD,N.D.,S.O.,N.D.,,,,,,,,,,,,,,,,"5431, rue Jonergin",Saint-Hubert,J3Y 2S1,450 625-9191,
16 Montérégie,Solutions Environnementales 360,Centre de tri CRD,N.D.,S.O.,N.D.,Oui,,,Oui,,Oui,,Oui,,,,,,,,"222, boul. Industriel",Châteauguay,J6J 4Z2,450 699-6862,
17 Centre-du-Québec,Transport Francis Blanchard inc.,Centre de tri CRD,N.D.,S.O.,N.D.,,,,,,,,,,,,,,,,"245, rue des Charpentiers",Saint-Germain-de-Grantham,J0C 1K0,819 470-9249,
02 Saguenay-Lac-Saint-Jean,Centrem,Transbordement,Pêle-mêle,S.O.,N.D.,,,,,,,,,,,,,,,,"1300, rue des Sociétaires",Saguenay,G7J 0K5,418 698-2222,groupedemexcentrem.com
02 Saguenay-Lac-Saint-Jean,GFL-Matrec - Saguenay,Transbordement,Pêle-mêle,S.O.,N.D.,,,,,,,,,,,,,,,,"3199, boul. Talbot",Saguenay,G7H 5B1,,
03 Capitale-Nationale,AIM Éco-Centre **,Transbordement,Pêle-mêle,S.O.,N.D.,,,,,,,,,,,,,,,,"999, boul. Montmorency",Québec,G1J 3W1,418 649-1000,aim-ecocentre.com
03 Capitale-Nationale,AIM Éco-Centre **,Transbordement,Pêle-mêle,S.O.,N.D.,,,,,,,,,,,,,,,,"400, rue des Entrepreneurs",Québec,G1M 1B3,418 683-1793,aim-ecocentre.com
04 Mauricie,J.Y. Martel,Transbordement,N.D.,S.O.,N.D.,,Oui,Oui,,,Oui,,Oui,,,,,,,,"1295, av de la Fonderie",Shawinigan,G9N 1W9,819 539-9209,
05 Estrie,AIM Éco-Centre **,Transbordement,Pêle-mêle,S.O.,N.D.,,,,,,,,,,,,,,,,"8191, route 214",Frontenac,G6B 2S1,819 583-3831,aim-ecocentre.com
05 Estrie,AIM Éco-Centre **,Transbordement,Pêle-mêle,S.O.,N.D.,,,,,,,,,,,,,,,,"2735, boul. Queen-Victoria",Sherbrooke,J1J 4N8,819 563-8012,aim-ecocentre.com
07 Outaouais,GFL-Matrec - Gatineau,Transbordement,Pêle-mêle,S.O.,N.D.,,,,,,,,,,,,,,,,"418, rue Saint-Louis",Gatineau,J9P 3B3,819 663-3399,
09 Côte-Nord,Entreprises Laurien Jean,Transbordement,N.D.,S.O.,N.D.,,,,,,,,,,,,,,,,"1851, rue Vincent",Baie-Comeau,G5C 1C2,418 589-9009,
12 Chaudière-Appalaches,AIM Éco-Centre **,Transbordement,Pêle-mêle,S.O.,N.D.,,,,,,,,,,,,,,,,"3459, rue de Vulcain",Lévis,G6W 7X6,418 832-7621,aim-ecocentre.com
13 Laval,GFL-Matrec - Laval,Transbordement,Pêle-mêle,S.O.,N.D.,,,,,,,,,,,,,,,,"4315, boul. Saint-Elzéar Ouest",Laval,H7P 4J3,514 895-8242,
15 Laurentides,Service de Recyclage Sterling ,Transbordement,N.D.,S.O.,N.D.,,,,,,,,,,,,,,,,"805, boul. Arthur-Sauvé",Saint-Eustache,J7R 4K3,450 983-4162,
16 Montérégie,Fibres J.C.,Transbordement,N.D.,S.O.,N.D.,,,,,,,,,,,,,,,,"3718, ch. de la Grande Ligne",Chambly,J3L 4A7,450 359-4545,
16 Montérégie,Solutions Environnementales 360,Transbordement,N.D.,S.O.,N.D.,,,,,,,,,,,,,,,,"3200, boul. Industriel",Chambly,J3L 4X3,450 658-9990,
17 Centre-du-Québec,Centre de tri Warwick,Transbordement,N.D.,S.O.,N.D.,,,,,,,,,,,,,,,,"5, rang Moreau",Warwick,J0A 1M0,819 358-7400,
17 Centre-du-Québec,Enfoui-Bec,Transbordement,Pêle-mêle,S.O.,N.D.,,,,,,,,,,,,,,,,"100, rue Carrignan",Princeville,G6L 4M4,819 522-2443,enfouibec.com
02 Saguenay-Lac-Saint-Jean,E.J. Turcotte,Non-spécifié,N.D.,S.O.,N.D.,,,,,,,,,,,,,,,,"2030, rue Drake",Saguenay,G7S 4K8,418 548-3147,
02 Saguenay-Lac-Saint-Jean,Mini-Excavation M.T.,Non-spécifié,N.D.,S.O.,N.D.,,,,,,,,,,,,,,,,"1700, av. de la Technologie",Alma,G9C 0E1,418 480-4949,
04 Mauricie,Conteneurs Économiques,Non-spécifié,N.D.,S.O.,N.D.,,,,,,,,,,,,,,,,"8505, boul. Parent",Trois-Rivières,G9A 5E1,819 696-2306,
